original_tokens,az_tokens,az_grade,tr_tokens,tr_grade
"Three patients received high doses of chlormethiazole for alcohol withdrawal symptoms , and one took a suicidal overdose of nitrazepam .","Üç xəstə spirtin tərkibindən imtina simptomları üçün yüksək dozada xlorometiazol aldı, bir xəstə isə nitrazepamın intihar məqsədli dozada artıq qəbul etdi.",1,Üç hasta alkol yoksunluk semptomları için yüksek dozda klormetiazol aldı ve biri intihar amaçlı nitrazepam aşırı dozu aldı.,2
"Mirtazapine , the first noradrenergic and specific serotonergic antidepressant ( NaSSA ), has been associated with RLS in several recent publications .","Mirtazapin, ilk noradrenerjik və spesifik serotonin antidepressanı (NaSSA), son bir neçə nəşrdə RLS ilə əlaqələndirilmişdir.",3,"Mirtazapin, ilk noradrenerjik ve spesifik serotoninerg antidepresan (NaSSA), son birkaç yayında RLS ile ilişkilendirilmiştir.",3
Pure red cell aplasia associated with diphenylhydantoin medication has been reported in 3 patients .,Diphenylhidantoin müalicəsi ilə əlaqəli saf qırmızı hüceyrə aplaziyası 3 xəstədə bildirilmişdir.,3,Diphenylhidantoin tedavisi ile ilişkili saf kırmızı hücre aplazisi 3 hastada bildirilmiştir.,3
Treatment of psoriasis with azathioprine .,Psoriazın azatioprinlə müalicəsi.,3,Psoriasis tedavisi azatiyoprin ile.,2
BACKGROUND : Pain on injection of propofol is unpleasant .,MƏNBƏ: Propofolun inyeksiyası zamanı ağrı narahat edicidir.,3,ARKAPLAN: Propofol enjeksiyonu sırasında ağrı rahatsız edicidir.,3
"Coenzyme Q10 significantly compensated deficits in the antioxidant defense mechanisms ( reduced glutathione level and superoxide dismutase activity ), suppressed lipid peroxidation , decreased the elevations of tumor necrosis factor - alpha , nitric oxide and platinum ion concentration , and attenuated the reductions of selenium and zinc ions in renal tissue resulted from cisplatin administration .","Koenzim Q10, antioksidant müdafiə mexanizmlərindəki (azalmış qlutatiyon səviyyəsi və superoksid dismutaz aktivliyi) çatışmazlıqları əhəmiyyətli dərəcədə kompensasiya etdi, lipid peroksidasiya prosesini basdırdı, şiş nekroz faktoru - alfa, nitrat oksid və platin ionu konsentrasiyalarının artımlarını azaltdı və cisplatin tətbiqindən sonra renal toxumada selenium və sink ionlarının azalmasını yüngülləşdirdi.",2,"Koenzim Q10, antioksidan savunma mekanizmalarındaki (azalmış glutatyon seviyesi ve süperoksit dismutaz aktivitesi) eksiklikleri önemli ölçüde telafi etti, lipid peroksidasyonunu baskıladı, tümör nekroz faktörü - alfa, nitrik oksit ve platin iyon konsantrasyonundaki artışları azalttı ve cisplatin uygulamasından kaynaklanan böbrek dokusundaki selenyum ve çinko iyonlarındaki azalmaları hafifletti.",3
"Cases have been published of coronary vasospasm , myocardial ischemia , and myocardial infarction occurring after sumatriptan use .","Sumatriptan istifadəsindən sonra koronar vazospazm, miyokard iskemiyası və miyokard infarktı halları dərc edilmişdir.",3,"Sumatriptan kullanımı sonrasında koroner vazospazm, miyokard iskemisi ve miyokard enfarktüsü vakaları yayımlanmıştır.",3
"OBJECTIVE : To report a case of a severe interaction between simvastatin , amiodarone , and atazanavir resulting in rhabdomyolysis and acute renal failure .","MƏQSƏD: Simvastatin, amiodaron və atazanavir arasında ciddi bir qarşılıqlı təsirin nəticəsində meydana gələn rabdomioliz və kəskin böyrək çatışmazlığına dair bir hadisəni bildirmək.",3,"AMAÇ: Rhabdomyoliz ve akut böbrek yetmezliğine yol açan simvastatin, amiodaron ve atazanavir arasındaki şiddetli etkileşimi rapor etmek.",3
These data suggest naloxone reverses respiratory paralysis produced by thiopental and involves GABA,Bu məlumatlar naloksonun tiopental tərəfindən yaradılan nəfəs iflicini geri çevirdiyini və GABA-nı əhatə etdiyini göstərir.,2,"Bu veriler, naloksonun tiopental tarafından üretilen solunum felcini tersine çevirdiğini ve GABA'yı içerdiğini önermektedir.",3
The mechanism by which omeprazole caused the patient ' s hemolytic anemia,Omeprazolun xəstənin hemolitik anemiyasına səbəb olan mexanizmi,3,Omeprazolün hastanın hemolitik anemisine neden olduğu mekanizma,3
